sub_location,location,latitude,longitude
algal_reef,north,25.0125,121.026389
bitou_cape,north,25.12881,121.92333
baisha,south,21.93436362,120.7165745
changhua_county,west,24.06227,120.378429
chenggong,east,23.096366,121.381411
chiayi_county,west,23.423831,120.147792
chika_lagoon_tapong_bay,south,23.122511,120.078385
danshui_estuary,north,25.17561405,121.4012208
datan,north,25.042581,121.071878
dongsha,offshore_island,20.716667,116.7
east,east,23.529221,121.521345
green_island,offshore_island,22.6667,121.483
guandu,north,25.115727,121.462571
guishan_island,offshore_island,24.841944,121.951667
hengchun,south,22,120.75
heping_island,offshore_island,25.161,121.763944
houbihu,south,21.94647,120.74581
houwan,south,22.021453,120.687539
hsinchu_county,north,24.846845,120.928307
hualien,east,23.991342,121.619728
inlet_reef,south,21.954693,120.754341
jade_market_taipei,north,25.03333,121.565
jialeshui,south,21.992644,120.861203
jihui_port,east,22.75833,121.14444
kaohsiung,south,22.61667,120.28333
keelung,north,25.12972,121.74139
kenting_national_park,south,21.95833,120.79167
kuosheng_bay,north,25.208402,121.66243
miaoli_county,west,24.608452,120.727723
nanwan_bay,south,21.96389,120.79167
new_taipei_city,north,24.99445,121.642619
NMMBA,south,22.6,120.3
north,north,25.296386,121.60863
northeast_coast,north,25,121
orchid_island,offshore_island,22,121.5
outlet_reef,south,22,120.75
penghu,offshore_island,23.56667,119.56667
pingtung,south,22.66667,120.46667
sanxiantai,east,23.12614,121.42168
shihtiping,east,23.488548,121.513895
shihyusan,east,23.174483,121.402202
shulin,north,24.9583,121.381021
south,south,21.881349,120.783163
south_china_sea,offshore_island,20,116
suao,north,24.581003,121.876081
taichung_city,west,24.248299,120.486136
tainan,south,22.970639,120.165053
taiping,offshore_island,10.29,114.37
taitung,east,22.75833,121.14444
taiwan_coral_king_farm,south,22,120.75
taiwan_strait,offshore_island,23,119
taoyuan_city,north,25.115831,121.259376
tiaoshi,north,25.256934,121.633594
wanlitung,south,21.995771,120.704406
xiaoliuqiu,offshore_island,22.337949,120.359756
xin_huwei_estuary,west,23.748093,120.166633
xinwu,north,24.97444,121.00833
yeliu_bay,north,25.207758,121.692252
yenliao_bay,north,25.0603,121.9317
yilan,north,24.682118,121.838018
yongan,south,22.817483,120.205531
yunlin_county,west,23.753199,120.16816